,date,stock_ent,stock_cur,exp,strike,put_ent,put_cur,stock pl,put pl,total
0,2020-01-08,325.39,0.0,2020-02-10,324.0,3.49,0.0,0.0,0.0,0.0
1,2020-02-10,325.39,0.0,2020-03-11,335.0,5.0,0.0,0.0,0.0,0.0
2,2020-03-11,325.39,0.0,2020-04-13,274.0,16.16,59.66,0.0,0.0,0.0
3,2020-04-13,325.39,0.0,2020-05-13,276.0,11.87,0.15,0.0,0.0,0.0
4,2020-05-13,325.39,0.0,2020-06-15,282.0,11.18,0.02,0.0,0.0,0.0
5,2020-06-15,325.39,0.0,2020-07-15,307.0,11.6,0.0,0.0,0.0,0.0
6,2020-07-15,325.39,0.0,2020-08-17,322.0,8.72,0.0,0.0,0.0,0.0
7,2020-08-17,325.39,0.0,2020-09-18,338.0,7.39,0.0,0.0,0.0,0.0
8,2020-09-18,325.39,0.0,2020-10-19,331.0,8.22,6.59,0.0,0.0,0.0
9,2020-10-19,325.39,0.0,2020-11-20,342.0,10.33,0.0,0.0,0.0,0.0
10,2020-11-20,325.39,0.0,2020-12-21,355.0,7.66,0.0,0.0,0.0,0.0
11,2020-12-21,325.39,0.0,2021-01-22,368.0,8.93,0.0,0.0,0.0,0.0
